State + US,Total,American Indian / Alaska Native,Asian,Hawaiian Native/Pacific Islander1,Hispanic,Black,White,Two or more races1,Economically disadvantaged,Limited English proficiency,Students with disabilities
United States,84.6,72.4,NaN,NaN,80,77.8,88.6,NaN,78.3,66.4,67.1
Alabama,89.3,NaN,NaN,NaN,88,86.5,91,91,NaN,NaN,NaN
Alaska,78.2,69,88,77,77,74,82.2,75,72.1,58,59
Arizona,78,66.8,NaN,NaN,74.5,73.8,82.8,NaN,72.4,30,66.4
Arkansas,88,89,92,69,85.7,83.4,90,86,84.9,82,83.8
California,82.7,68.2,93.1,91.3,80.3,73.1,87.3,70.4,78.8,67.2,65
Colorado,79.1,64,90,77,71.1,71.9,83.9,80,68.5,64.6,56.8
Connecticut,87.9,88,95,81,77.7,80.1,92.8,88,78.1,68,66.7
Delaware,86.9,76,96,50,82,83.2,89.9,91,78,69,69
District of Columbia,73.2,<>,<>,<>,72,72.4,85,90,72.9,63,53
Florida,82.3,80,93.2,87,81.3,74.8,86.2,83.1,76.8,67.3,66
Georgia,80.6,79,NaN,NaN,73.6,77.8,84,81.5,76.4,59,58.9
Hawaii,82.7,79,NaN,NaN,80,79,80,NaN,77.9,69,65
Idaho,79.7,66,86,78,74.8,70,81.1,76,71.6,75,61
Illinois,87,81,94.7,82,83.5,78.9,90.6,86.2,79.4,73.6,71.2
Indiana,83.8,76,81,70,75.8,70.8,87.5,82.1,80.3,50,70.9
Iowa,91,83,93,77,82.4,82,92.7,85,83.7,80,74.3
Kansas,86.5,81,94,75,81.1,78,88.8,84,78.6,79.7,78.4
Kentucky,89.7,77,93,76,84,81.6,91.2,87,87,67,74.4
Louisiana,78.1,81,91,77,67,72.8,83.7,82,72.6,36,52.5
Maine,86.9,71,88,50,89,83,87.4,79,79.3,81,72.5
Maryland,87.7,86,96.3,89,74,85.4,92.7,91,79.3,45,67.5
Massachusetts,88.3,81,94.1,78,74.4,80,92.6,85,79,63.4,72.8
Michigan,80.2,68,90.7,85,73.3,68.6,83.7,74.7,67.9,69.4,56.7
Minnesota,82.7,51,85.5,63,66.3,64.8,88.1,71,69,64.7,61.2
Mississippi,83,80,91,80,81,79.3,87.1,79,79.9,67,36.4
Missouri,88.3,84,NaN,NaN,84.4,75.9,91.4,89,80.1,67,76.9
Montana,85.8,69,94,83,80,81,88.7,NaN,76.6,63,77
Nebraska,89.1,70,82,85,81.6,81,92.5,86,81.8,50,71
Nevada,80.9,74,93,82,79.7,67.7,84.2,81,76.8,81.7,64.7
New Hampshire,88.9,75,93,50,76,79,89.8,85,77.5,78,74
New Jersey,90.5,92,96.6,95,84.3,83.4,94.5,92,84,76.1,78.8
New Mexico,71.1,61,NaN,NaN,70.5,68,76.4,NaN,66.4,68.1,61.5
New York,81.8,67,88,77,71.2,71.5,89.8,83,75.3,30.8,55.4
North Carolina,86.6,84,NaN,NaN,80.6,83.9,89.3,84.3,81.8,58,70.3
North Dakota,87.2,68,80,NaN,76,75,90.5,NaN,74,69,66
Ohio,84.2,76,NaN,NaN,73.6,68.6,88.2,78.7,73.1,55,70.5
Oklahoma,82.6,82.7,86,84,79.3,80.3,83.7,82.5,76.8,57,77
Oregon,76.7,59,89,69,72.5,68,78,77,70.1,55,58.8
Pennsylvania,86.6,73,92.4,90,73.9,73.8,91,79,79.8,65,73.6
Rhode Island,84.1,73,89,68,76,81,87.7,79,76,72,63
South Carolina,83.6,76,NaN,NaN,80.5,81.3,85.2,NaN,85.1,77,53.5
South Dakota,83.7,50,<>,<>,71,78,89.5,78,67,59,60
Tennessee,89.8,89,94,93,83.8,84,92.6,NaN,84.5,74,72.7
Texas,89.7,86,96.1,89,87.7,86.1,93.6,91.7,86.9,75.5,77.4
Utah,86,74,89,86,77.3,73,88.3,87,76.6,67,69.4
Vermont,89.1,<>,<>,<>,90,77,89.8,83,81,66,76
Virginia3,86.9,83,93.5,91,73,82.8,91.3,90,77.8,57.3,59.8
Washington,79.4,62,87.5,68,72.7,71.5,81.9,79.7,70,57.8,59.4
West Virginia,89.4,80,95,50,92,87,89.5,83,87.3,<>,76
Wisconsin,88.6,79,91,85,80.3,67,92.7,84,77.4,65,68.2
Wyoming,86.2,59,81,50,80,83,87.5,79,65,77,68
